Year,Metropolitan trains,"Metropolitan trams 
-Average over route","Metropolitan trams 
-At destination",V/Line trains,Metropolitan buses,,,
2002-03,95.6,78.9,64.3,94.4,91.9,,,
2003-04,94.0,78.6,64.0,92.0,92.0,,,
2004-05,91.4,79.3,65.5,87.0,93.5,,,
2005-06,90.1,80.0,68.8,85.8,93.9,,,
2006-07,89.1,79.7,68.1,86.1,95.1,,,
2007-08,88.0,78.5,67.1,86.2,95.2,,,
2008-09,87.9,79.2,67.8,85.9,94.3,,,
2009-10,85.4,81.9,71.6,85.2,94.1,,,
2010-11,85.8,81.4,71.3,84.4,93.6,,,
2011-12,89.9,81.7,71.6,86.3,94.2,,,
2012-13,92.1,81.7,71.6,83.8,94.3,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
