Line,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,"12 mth
avg"
Alamein,94.7,96.2,96.2,96.3,94.7,94.9,95.6,96.3,96.5,96.3,94.5,94.5,93.3,95.5
Belgrave,90.3,92.2,90.7,92.5,91.5,91.1,91.0,93.8,93.9,93.0,86.4,89.5,87.4,91.1
Craigieburn,92.6,91.8,89.7,94.4,92.7,92.7,92.0,93.7,91.9,93.3,92.7,91.5,91.1,92.3
Cranbourne,85.6,86.1,88.1,88.8,91.0,90.4,88.8,92.5,92.5,92.6,91.9,88.4,87.7,89.9
Frankston,87.1,90.7,90.2,91.5,90.7,90.6,89.6,92.1,89.9,89.9,91.4,89.6,90.4,90.5
Glen Waverley,95.0,96.3,96.6,97.4,95.7,96.5,95.7,97.5,96.7,96.8,95.3,95.8,95.8,96.4
Hurstbridge,95.3,96.0,95.5,96.2,93.8,95.2,92.8,95.8,94.0,95.0,93.1,93.7,93.5,94.6
Lilydale,90.9,94.2,92.8,93.8,92.7,92.8,92.1,94.4,94.6,94.3,88.5,90.8,89.4,92.6
Pakenham,82.3,85.2,89.2,88.7,88.3,88.7,88.3,91.0,91.3,92.8,90.9,87.2,88.2,89.2
Sandringham,93.0,95.6,95.3,95.3,95.8,93.4,95.1,96.5,97.1,96.1,96.0,95.4,95.4,95.6
South Morang,96.3,96.8,96.9,97.1,95.4,95.8,93.6,96.1,95.5,96.1,94.3,94.2,95.1,95.6
Stony Point,94.9,96.7,97.1,98.8,98.1,96.3,95.3,98.2,96.8,96.2,97.4,97.3, ,97.1
Sunbury,90.2,89.4,91.1,94.6,93.6,93.5,93.9,95.3,93.4,92.9,91.5,92.6,93.2,92.9
Upfield,93.8,94.7,94.3,96.3,93.6,93.2,93.9,95.4,92.6,94.5,93.6,94.4,93.5,94.2
Werribee,90.6,90.2,90.7,91.2,89.9,88.9,90.6,91.1,90.9,89.4,90.3,90.3,89.6,90.3
Williamstown,93.3,94.2,94.2,94.7,94.5,94.4,93.3,94.1,95.0,94.3,93.8,94.2,94.5,94.3
Network total,91.5,92.7,92.8,93.9,92.8,92.7,92.3,94.3,93.6,93.7,92.3,92.1,91.8,92.9
