Line,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,"12 mth
avg"
Alamein,99.2,99.4,99.7,99.6,99.1,98.9,98.8,99.5,99.7,99.6,99.1,99.5,99.3,99.3
Belgrave,99.1,99.5,98.4,99.4,99.4,99.0,99.1,99.2,99.2,99.0,98.9,98.2,99.1,99.0
Craigieburn,97.9,98.7,98.8,99.4,99.0,98.8,98.4,98.5,98.1,98.6,98.6,98.5,98.2,98.6
Cranbourne,98.4,99.2,99.1,99.3,98.4,98.1,97.8,98.1,98.6,99.1,98.6,96.5,97.2,98.3
Frankston,97.6,98.8,98.0,99.0,98.7,98.5,98.0,98.7,97.6,98.5,98.4,98.3,97.8,98.4
Glen Waverley,99.4,99.8,99.6,99.8,99.5,98.9,99.0,99.6,99.5,99.5,99.1,99.3,99.5,99.4
Hurstbridge,98.9,99.5,99.2,99.6,99.5,99.2,99.0,99.4,99.0,99.3,98.8,99.3,99.1,99.2
Lilydale,98.8,99.5,99.1,98.7,98.8,98.3,98.5,98.7,98.9,99.0,98.3,97.7,98.2,98.7
Pakenham,97.9,98.9,99.1,99.4,98.7,97.8,97.7,98.6,98.5,98.6,98.5,97.6,98.4,98.5
Sandringham,97.9,99.3,98.9,99.5,99.4,98.4,98.3,99.4,99.5,98.9,98.7,99.1,99.3,99.1
South Morang,99.3,99.6,99.6,99.8,99.7,99.4,99.2,99.5,99.4,99.6,99.5,99.3,99.5,99.5
Stony Point,98.6,98.6,92.1,89.5,90.6,98.7,95.7,97.4,97.0,97.4,97.4,84.0, ,94.3
Sunbury,98.6,98.8,99.4,99.2,99.3,99.3,98.8,99.2,99.1,98.8,99.2,99.3,99.3,99.1
Upfield,99.0,99.5,99.1,99.7,99.4,99.2,99.0,99.5,98.7,99.2,99.4,99.1,99.3,99.3
Werribee,98.6,98.6,98.9,98.8,98.6,98.6,98.2,98.8,98.9,98.2,98.3,99.0,98.7,98.6
Williamstown,99.1,99.4,99.7,99.7,99.2,98.5,99.0,99.4,99.0,99.1,99.4,99.3,98.9,99.2
Network total,98.6,99.2,99.0,99.3,99.0,98.7,98.5,99.1,98.9,98.9,98.8,98.5,98.7,98.9
