Line,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,"12 mth
avg"
1,99.3,99.1,99.6,99.3,99.5,99.3,99.2,99.2,99.5,99.5,99.2,99.3,99.2,99.3
3,98.8,99.1,99.1,99.2,99.3,98.9,98.7,98.9,99.0,99.0,98.6,98.6,98.7,98.9
5,99.3,99.1,99.3,99.4,99.4,99.1,99.5,99.1,98.9,99.0,98.8,98.9,99.1,99.1
6,99.1,98.9,99.2,99.2,99.3,98.8,99.3,98.8,98.6,99.0,98.7,98.5,98.9,98.9
8,99.0,98.8,99.4,99.0,98.8,99.2,98.9,98.9,98.9,99.3,98.5,98.6,98.7,98.9
11, , , ,99.7,99.8,99.6,99.7,99.5,99.4,99.8,99.0,99.2,99.7,99.5
12, , , ,99.9,99.6,99.6,99.6,99.4,99.5,98.8,98.2,99.2,98.9,99.3
16,98.6,98.4,99.1,99.0,98.8,98.6,98.4,97.7,98.1,98.3,96.8,97.2,98.2,98.2
19,98.4,97.6,99.1,99.4,99.6,99.5,99.3,99.6,99.3,99.5,99.0,99.1,98.8,99.1
48,98.5,99.2,99.7,99.3,99.6,99.5,99.2,98.9,99.3,99.7,98.9,99.4,99.5,99.3
55,99.5,99.7,99.5,99.2,99.7,99.5,99.6,99.5,99.5,99.1,99.6,99.6,99.5,99.5
57,99.8,99.6,99.6,99.8,99.7,99.4,99.6,99.3,99.7,99.6,99.3,99.6,99.6,99.6
59,99.6,99.6,99.5,99.7,99.7,99.6,99.6,99.5,99.4,99.3,99.5,99.4,99.4,99.5
64,99.1,99.1,99.0,99.3,99.4,99.1,99.3,98.9,99.0,99.0,98.4,98.5,98.6,99.0
67,99.1,99.0,99.0,99.2,99.4,99.2,99.1,99.0,98.6,98.8,98.1,98.2,98.5,98.9
70,98.6,99.1,99.4,99.5,99.5,99.3,99.5,98.7,98.7,98.9,98.8,99.0,99.0,99.1
72,98.5,98.3,99.0,98.9,98.8,98.7,98.9,98.3,97.8,98.2,97.4,97.9,98.3,98.4
75,98.7,99.0,99.4,99.5,99.4,99.2,99.1,98.8,99.0,99.3,98.9,99.2,99.0,99.2
78,98.5,99.2,99.3,99.4,99.0,99.5,99.4,99.1,98.8,99.3,98.8,99.0,98.9,99.2
82,99.8,99.4,99.9,99.8,99.6,99.6,99.6,99.4,99.8,99.9,99.5,99.5,99.6,99.6
86,97.2,99.2,99.5,99.4,99.6,99.5,99.3,99.4,99.0,99.5,99.0,98.6,99.0,99.3
96,98.8,99.2,99.0,99.0,99.1,99.1,98.9,98.8,98.2,98.3,98.3,99.0,99.3,98.9
109,98.7,99.2,99.5,99.5,99.5,99.6,99.0,98.9,99.2,99.3,99.2,99.2,99.4,99.3
112,98.3,99.2,99.4,99.6, , , , , , , , , ,99.4
City Shuttle,95.3,97.8,96.1,98.0,99.7,99.2,99.2,98.7,98.7,97.9,97.4,97.9,98.8,98.2
Network total,98.7,99.0,99.2,99.3,99.4,99.3,99.2,99.0,99.0,99.1,98.7,98.9,99.0,99.1
