Line,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,"12 mth
avg"
Albury,88.8,94.2,95.6,95.5,93.6,93.9,93.3,97.1,92.3,93.4,93.3,96.1,95.9,94.4
Ararat & Maryborough,89.8,89.9,90.8,97.9,97.4,98.6,93.0,98.2,98.2,97.3,96.1,96.9,93.6,95.7
Bairnsdale,74.0,83.5,86.7,77.7,86.7,83.7,75.3,86.4,80.0,86.7,85.8,74.1,55.3,80.5
Ballarat,85.3,87.4,84.7,88.7,93.5,95.0,92.2,92.3,95.7,95.9,95.3,94.7,93.2,92.6
Bendigo,75.4,86.0,92.3,92.6,93.4,94.6,93.3,95.0,93.3,94.6,92.7,94.6,93.1,93.0
Geelong,86.7,88.4,88.5,89.7,86.5,87.0,85.2,87.5,86.1,87.8,87.9,89.4,88.0,87.7
Gippsland,73.6,76.3,76.7,81.7,82.1,79.0,75.3,82.0,87.5,87.7,83.1,76.8,69.8,79.9
Seymour,87.3,90.0,86.1,92.8,91.1,92.5,91.7,91.7,92.7,90.8,91.6,92.0,90.6,91.2
Shepparton,88.8,95.0,89.9,94.9,94.4,95.1,94.8,94.3,91.6,92.0,92.0,97.8,94.4,93.9
Swan Hill & Echuca,84.4,90.5,94.1,97.3,95.4,95.4,92.4,94.4,93.2,94.8,96.4,92.5,94.9,94.2
Warrnambool,75.0,89.6,88.1,80.0,83.6,83.8,87.4,90.6,85.1,83.6,91.4,85.8,90.7,86.7
Network total,82.7,86.8,86.9,88.9,89.9,90.2,88.2,90.8,90.7,91.4,90.7,90.1,87.8,89.4
