Line,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,"12 mth
avg"
Albury,95.6,94.5,97.5,83.8,94.0,94.4,96.8,95.6,97.7,97.8,98.8,97.8,85.9,94.7
Ararat & Maryborough,100.0,100.0,100.0,100.0,100.0,100.0,99.6,100.0,100.0,99.6,100.0,100.0,99.5,99.9
Bairnsdale,99.4,98.4,98.9,100.0,98.4,100.0,97.8,100.0,100.0,98.9,99.4,100.0,100.0,99.3
Ballarat,98.2,98.5,95.6,99.0,99.6,99.2,97.6,99.4,99.2,99.1,98.0,99.0,97.7,98.5
Bendigo,99.6,98.9,98.5,94.9,99.5,99.7,99.2,99.3,99.7,98.3,99.4,98.0,99.4,98.9
Geelong,98.9,98.6,98.5,98.8,94.9,98.8,98.4,99.3,97.7,97.6,97.7,98.2,98.7,98.1
Gippsland,97.1,97.9,98.6,99.5,98.5,97.6,94.0,100.0,100.0,99.0,99.7,97.5,97.7,98.3
Seymour,97.9,98.7,98.7,99.4,99.2,98.7,98.8,99.4,99.7,99.0,99.7,97.3,100.0,99.0
Shepparton,96.9,100.0,98.0,100.0,98.8,100.0,98.4,98.9,98.9,97.8,100.0,98.9,100.0,99.1
Swan Hill & Echuca,98.5,98.5,99.5,98.5,99.5,100.0,99.5,100.0,100.0,98.5,97.8,99.0,99.0,99.2
Warrnambool,100.0,100.0,100.0,99.4,98.9,100.0,99.4,100.0,98.9,100.0,98.8,100.0,96.9,99.4
Network total,98.4,98.5,98.2,98.4,98.1,98.9,97.9,99.4,99.1,98.6,98.8,98.3,98.3,98.5
